internalTaxonId,scientificName,name,language,main
10041,Heosemys annandalii,Yellow-headed Temple Turtle,English,true
10825,Indotestudo forstenii,Celebes Tortoise,English,false
10825,Indotestudo forstenii,East Indian Tortoise,English,false
10825,Indotestudo forstenii,Sulawesi Tortoise,English,false
10825,Indotestudo forstenii,Travancore Tortoise,English,false
10825,Indotestudo forstenii,Baning Sulawesi,Indonesian,false
10825,Indotestudo forstenii,Tortue des Celèbes,French,false
10825,Indotestudo forstenii,Tortue de Tranvancore,French,false
10825,Indotestudo forstenii,Tortuga Marrón de la India,Spanish; Castilian,false
10825,Indotestudo forstenii,Forsten's Tortoise,English,true
10950,Pangshura sylhetensis,Assam Roofed Turtle,English,true
11797,Lepus castroviejoi,Ginsterhase,German,false
11797,Lepus castroviejoi,Lepre cantabrica,Italian,false
11797,Lepus castroviejoi,Liebre de piornal,Spanish; Castilian,false
11797,Lepus castroviejoi,Lievre Cantabrique,French,false
11797,Lepus castroviejoi,Broom Hare,English,true
12695,Malaclemys terrapin,Diamond-backed Terrapin,English,false
12695,Malaclemys terrapin,Terrapin,English,false
12695,Malaclemys terrapin,Diamondback Terrapin,English,true
12696,Malacochersus tornieri,Crevice Tortoise,English,false
12696,Malacochersus tornieri,Soft-shelled Tortoise,English,false
12696,Malacochersus tornieri,Tornier's Tortoise,English,false
12696,Malacochersus tornieri,Kobe kama Chapati,Swahili,false
12696,Malacochersus tornieri,Kobe ya Mawe,Swahili,false
12696,Malacochersus tornieri,Tortue à Carapace Souple,French,false
12696,Malacochersus tornieri,Tortue de Tornier,French,false
12696,Malacochersus tornieri,Tortuga de Cuña,Spanish; Castilian,false
12696,Malacochersus tornieri,Pancake Tortoise,English,true
12775,Manouria impressa,Tortue imprimée,French,false
12775,Manouria impressa,Tortuga Marrón de Burma,Spanish; Castilian,false
12775,Manouria impressa,Impressed Tortoise,English,true
12776,Mantella aurantiaca,Ginger Tree Frog,English,false
12776,Mantella aurantiaca,Golden Frog,English,false
12776,Mantella aurantiaca,Madagascan Golden Frog,English,false
12776,Mantella aurantiaca,Malagasy Golden Mantella,English,false
12776,Mantella aurantiaca,Orange Mantella,English,false
12776,Mantella aurantiaca,Red Mantella,English,false
12776,Mantella aurantiaca,Yellow Mantella,English,false
12776,Mantella aurantiaca,Golden Mantella,English,true
1301,Anhydrophryne rattrayi,Hogsback Chirping Frog,English,false
1301,Anhydrophryne rattrayi,Hogsback Frog,English,false
1301,Anhydrophryne rattrayi,Rattray's Forest Frog,English,false
1301,Anhydrophryne rattrayi,Rattray's Frog,English,false
1301,Anhydrophryne rattrayi,Hogsback-kwetterpadda,Afrikaans,false
13038,Melanochelys tricarinata,Three-keeled Land Tortoise,English,false
13038,Melanochelys tricarinata,Three-keeled Land Turtle,English,false
13038,Melanochelys tricarinata,Three-keeled Land Turtle,English,false
13038,Melanochelys tricarinata,Tricarinate Hill Turtle,English,false
13038,Melanochelys tricarinata,Emyde Indienne à trois carènes,French,false
13038,Melanochelys tricarinata,Galápago Terrestre,Spanish; Castilian,false
13038,Melanochelys tricarinata,Géoémyde tricarénée,French,false
13038,Melanochelys tricarinata,Tortue tricarénée,French,false
13038,Melanochelys tricarinata,Tricarinate Hill Turtle,English,true
135889,Telmatobius sanborni,Sanborn's Water Frog,English,true
136056,Zhangixalus yinggelingensis,Yinggelin Treefrog,English,false
136056,Zhangixalus yinggelingensis,鹦哥岭树蛙,Chinese,true
136082,Bolitoglossa gomezi,Gomez’s Web-footed Salamander,English,true
136129,Telmatobius punctatus,Huánaco Water Frog,English,true
13873,Morenia ocellata,Bengal Eyed Terrapin,English,false
13873,Morenia ocellata,Peacock Turtle,English,false
13873,Morenia ocellata,Swamp Turtle,English,false
13873,Morenia ocellata,Emyde à ocelles de Birmanie,French,false
13873,Morenia ocellata,Galápago Ocelado de Birmania,Spanish; Castilian,false
13873,Morenia ocellata,Tortue de Birmanie,French,false
13873,Morenia ocellata,Burmese Eyed Turtle,English,true
13874,Morenia petersi,Indian Eyed Turtle,English,true
14765,Nilssonia formosa,Burmese Peacock Softshell,English,true
14856,Notochelys platynota,Malayan Flat-shelled Turtle,English,true
15026,Mauremys sinensis,Chinese Stripe-necked Turtle,English,true
15185,Ogmodon vitianus,Fiji Cobra,English,false
15185,Ogmodon vitianus,Viti Bolo,English,false
15185,Ogmodon vitianus,Fiji Snake,English,true
15509,Orlitia borneensis,Bornean River Turtle,English,false
15509,Orlitia borneensis,Malaysian Giant Turtle,English,true
15602,Euryoryzomys lamia,Monster Rice Rat,English,true
15918,Palea steindachneri,Wattle-necked Softshell Turtle,English,true
163414,Cuora mouhotii,Jagged-shelled Turtle,English,false
163414,Cuora mouhotii,Keel-backed Terrapin,English,false
163414,Cuora mouhotii,Keeled Box Turtle,English,true
163415,Cyclemys oldhamii,Stream Terrapin,English,false
163415,Cyclemys oldhamii,Southeast Asian Leaf Turtle,English,true
163423,Centrochelys sulcata,Grooved Tortoise,English,false
163423,Centrochelys sulcata,Sahel Tortoise,English,false
