assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
495907,10041,Heosemys annandalii,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Heosemys,annandalii,,,,"(Boulenger in Annandale &amp; Robinson, 1903)",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
499158,10825,Indotestudo forstenii,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TESTUDINIDAE,Indotestudo,forstenii,,,,"(Schlegel &amp; Müller, 1845)",Critically Endangered,A4cd,3.1,Decreasing,Global
499618,10950,Pangshura sylhetensis,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Pangshura,sylhetensis,,,,"Jerdon, 1870",Critically Endangered,A2cd+4cd,3.1,Decreasing,Global
503908,11797,Lepus castroviejoi,ANIMALIA,CHORDATA,LAGOMORPHA,MAMMALIA,LEPORIDAE,Lepus,castroviejoi,,,,"Palacios, 1977",Vulnerable,B1ab(v),3.1,Decreasing,"Global, Europe & Mediterranean"
507698,12695,Malaclemys terrapin,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,EMYDIDAE,Malaclemys,terrapin,,,,"(Schoepff, 1793)",Vulnerable,A4acde,3.1,Decreasing,Global
508210,12696,Malacochersus tornieri,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TESTUDINIDAE,Malacochersus,tornieri,,,,"(Siebenrock, 1903)",Critically Endangered,A4abcd,3.1,Decreasing,Global
508518,12775,Manouria impressa,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,TESTUDINIDAE,Manouria,impressa,,,,"(Günther, 1882)",Endangered,A2cd,3.1,Decreasing,Global
508612,12776,Mantella aurantiaca,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,MANTELLIDAE,Mantella,aurantiaca,,,,"Mocquard, 1900",Endangered,"B1ab(ii,iii,v)+2ab(ii,iii,v)",3.1,Decreasing,Global
511335,1301,Anhydrophryne rattrayi,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,PYXICEPHALIDAE,Anhydrophryne,rattrayi,,,,"Hewitt, 1919",Vulnerable,B1ab(iii),3.1,Unknown,Global
511526,13038,Melanochelys tricarinata,ANIMALIA,CHORDATA,TESTUDINES,REPTILIA,GEOEMYDIDAE,Melanochelys,tricarinata,,,,"(Blyth, 1856)",Endangered,A4cd,3.1,Decreasing,Global
