internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
10041,Heosemys annandalii,"Hieremys annandalii (Boulenger in Annandale & Robinson,1903)",Hieremys,annandalii,"(Boulenger in Annandale & Robinson,1903)",,
10041,Heosemys annandalii,"Cyclemys annandalii Boulenger in Annandale & Robinson, 1903",Cyclemys,annandalii,"Boulenger in Annandale & Robinson, 1903",,
10825,Indotestudo forstenii,"testudo forstenii Schlegel & Müller, 1845",testudo,forstenii,"Schlegel & Müller, 1845",,
10950,Pangshura sylhetensis,"Kachuga sylhetensis (Jerdon, 1870)",Kachuga,sylhetensis,"(Jerdon, 1870)",,
12695,Malaclemys terrapin,"Testudo concentrica Shaw, 1802",Testudo,concentrica,"Shaw, 1802",,
12695,Malaclemys terrapin,"Testudo ocellata Link, 1807",Testudo,ocellata,"Link, 1807",,
12695,Malaclemys terrapin,"Emys pileata Wied, 1865",Emys,pileata,"Wied, 1865",,
12695,Malaclemys terrapin,"Malaclemmys littoralis ssp. rhizophorarum Fowler, 1906",Malaclemmys,littoralis,,subspecies,"Fowler, 1906"
12695,Malaclemys terrapin,"Malaclemys terrapin ssp. tequesta Schwartz, 1955",Malaclemys,terrapin,,subspecies,"Schwartz, 1955"
12695,Malaclemys terrapin,"Malacoclemmys terrapin (Schoepff, 1793)",Malacoclemmys,terrapin,"(Schoepff, 1793)",,
12695,Malaclemys terrapin,"Emys macrocephalus Gray, 1844 [junior homonym]",Emys,macrocephalus,"Gray, 1844 [junior homonym]",,
12695,Malaclemys terrapin,"Malaclemys tuberculifera Gray, 1844 [<i>nomen oblitum</i>]",Malaclemys,tuberculifera,"Gray, 1844 [<i>nomen oblitum</i>]",,
12695,Malaclemys terrapin,"Malaclemmys littoralis Hay, 1905",Malaclemmys,littoralis,"Hay, 1905",,
12695,Malaclemys terrapin,"Malaclemmys macrospilota Hay, 1905",Malaclemmys,macrospilota,"Hay, 1905",,
12695,Malaclemys terrapin,"Testudo terrapin Schoepff, 1793",Testudo,terrapin,"Schoepff, 1793",,
12695,Malaclemys terrapin,"Emys centrata Latreille, in Sonnini & Latreille, 1801",Emys,centrata,"Latreille, in Sonnini & Latreille, 1801",,
12696,Malacochersus tornieri,"Testudo loveridgii Boulenger, 1920",Testudo,loveridgii,"Boulenger, 1920",,
12696,Malacochersus tornieri,"Testudo tornieri Siebenrock, 1903",Testudo,tornieri,"Siebenrock, 1903",,
12775,Manouria impressa,Geoemyda impressa Gunther 1882,Geoemyda,impressa,Gunther 1882,,
12775,Manouria impressa,"Geoemyda  latinuchalis Vaillant, 1894",Geoemyda ,latinuchalis,"Vaillant, 1894",,
12775,Manouria impressa,"Testudo pseudemys Boulenger, 1903",Testudo,pseudemys,"Boulenger, 1903",,
13038,Melanochelys tricarinata,"Chaibassia theobaldi Anderson, 1879",Chaibassia,theobaldi,"Anderson, 1879",,
13038,Melanochelys tricarinata,Geomyda carinata Blyth 1870,Geomyda,carinata,Blyth 1870,,
13038,Melanochelys tricarinata,Nicoria tricarinata Lydekker 1889,Nicoria,tricarinata,Lydekker 1889,,
13038,Melanochelys tricarinata,"Geoemyda tricarinata Blyth, 1856",Geoemyda,tricarinata,"Blyth, 1856",,
135889,Telmatobius sanborni,"Telmatobius marmoratus ssp. rugosus Vellard, 1960",Telmatobius,marmoratus,,subspecies,"Vellard, 1960"
136036,Ctenophryne barbatula,"Melanophryne barbatula Lehr &  Trueb, 2007",Melanophryne,barbatula,"Lehr &  Trueb, 2007",,
136056,Zhangixalus yinggelingensis,"Rhacophorus yinggelingensis Chou, Lau &amp; Chan, 2007",Rhacophorus,yinggelingensis,"Chou, Lau &amp; Chan, 2007",,
136129,Telmatobius punctatus,"Telmatobius brevirostris Vellard, 1955",Telmatobius,brevirostris,"Vellard, 1955",,
78526171,Oreobates lehri,"Eleutherodactylus lehri Padial, Chaparro & De la Riva, 2007",Eleutherodactylus,lehri,"Padial, Chaparro & De la Riva, 2007",,
13873,Morenia ocellata,"Emys ocellata Duméril & Bibron, 1835",Emys,ocellata,"Duméril & Bibron, 1835",,
13873,Morenia ocellata,"Emys berdmorei Blyth, 1859",Emys,berdmorei,"Blyth, 1859",,
13874,Morenia petersi,"Batagur petersi Anderson, 1879",Batagur,petersi,"Anderson, 1879",,
14765,Nilssonia formosa,"Trionyx formosus Gray, 1869",Trionyx,formosus,"Gray, 1869",,
14765,Nilssonia formosa,"Trionys peguensis Gray, 1870",Trionys,peguensis,"Gray, 1870",,
14765,Nilssonia formosa,"Trionyx grayii Theobald, 1875",Trionyx,grayii,"Theobald, 1875",,
14856,Notochelys platynota,"Emys platynota Gray, 1834",Emys,platynota,"Gray, 1834",,
14856,Notochelys platynota,"Cyclemys giebelii Hubrecht, 1881",Cyclemys,giebelii,"Hubrecht, 1881",,
14856,Notochelys platynota,"Cistudo bankanensis Bleeker in Gray, 1864",Cistudo,bankanensis,"Bleeker in Gray, 1864",,
15026,Mauremys sinensis,"Ocadia glyphistoma McCord & Iverson, 1994 [<i>partim</i>, hybrid]",Ocadia,glyphistoma,"McCord & Iverson, 1994 [<i>partim</i>, hybrid]",,
15026,Mauremys sinensis,"Ocadia sinensis (Gray, 1834)",Ocadia,sinensis,"(Gray, 1834)",,
15026,Mauremys sinensis,"Ocadia philippeni McCord & Iverson, 1992 [<i>partim</i>, hybrid]",Ocadia,philippeni,"McCord & Iverson, 1992 [<i>partim</i>, hybrid]",,
15026,Mauremys sinensis,"Emys sinensis Gray, 1834",Emys,sinensis,"Gray, 1834",,
15026,Mauremys sinensis,"Emys bennetti Gray, 1844",Emys,bennetti,"Gray, 1844",,
15026,Mauremys sinensis,"Testudo anyangensis Ping, 1930 †",Testudo,anyangensis,"Ping, 1930 †",,
15026,Mauremys sinensis,"Ocadia sinensis ssp. changwui Tao, 1988 †",Ocadia,sinensis,,subspecies,"Tao, 1988 †"
15509,Orlitia borneensis,"Hardella baileyi Bartlett, 1895",Hardella,baileyi,"Bartlett, 1895",,
15509,Orlitia borneensis,"Liemys inornata Boulenger, 1897",Liemys,inornata,"Boulenger, 1897",,
15509,Orlitia borneensis,"Clemmys gibbera Peters, 1874",Clemmys,gibbera,"Peters, 1874",,
15509,Orlitia borneensis,"Adelochelys crassa Baur, 1896",Adelochelys,crassa,"Baur, 1896",,
15602,Euryoryzomys lamia,"Oryzomys lamia Thomas, 1901",Oryzomys,lamia,"Thomas, 1901",,
15918,Palea steindachneri,"Trionyx steindachneri Siebenrock, 1906",Trionyx,steindachneri,"Siebenrock, 1906",,
15918,Palea steindachneri,"Aspidonectes californiana Rivers, 1889",Aspidonectes,californiana,"Rivers, 1889",,
163414,Cuora mouhotii,"Pyxidea mouhotii (Gray, 1862)",Pyxidea,mouhotii,"(Gray, 1862)",,
163414,Cuora mouhotii,"Cyclemys mouhotii Gray, 1862",Cyclemys,mouhotii,"Gray, 1862",,
163415,Cyclemys oldhamii,"Cyclemys belli Gray, 1863",Cyclemys,belli,"Gray, 1863",,
163415,Cyclemys oldhamii,"Emys dhor Gray, 1831",Emys,dhor,"Gray, 1831",,
163415,Cyclemys oldhamii,"Geoemyda tcheponensis Bourret, 1939",Geoemyda,tcheponensis,"Bourret, 1939",,
163415,Cyclemys oldhamii,"Cyclemys dhor ssp. shanensis Annandale, 1918",Cyclemys,dhor,,subspecies,"Annandale, 1918"
163415,Cyclemys oldhamii,"Cyclemys tiannanensis Kou, 1989",Cyclemys,tiannanensis,"Kou, 1989",,
163423,Centrochelys sulcata,"Testudo calcarata Schneider, 1784",Testudo,calcarata,"Schneider, 1784",,
163423,Centrochelys sulcata,"Testudo sulcata Miller, 1779",Testudo,sulcata,"Miller, 1779",,
163423,Centrochelys sulcata,"Testudo radiata ssp. senegalensis Gray, 1831",Testudo,radiata,,subspecies,"Gray, 1831"
163423,Centrochelys sulcata,"Geochelone sulcata (Miller, 1779)",Geochelone,sulcata,"(Miller, 1779)",,
163448,Cycloderma aubryi,"Cryptopus aubryi (Duméril, 1856)",Cryptopus,aubryi,"(Duméril, 1856)",,
163448,Cycloderma aubryi,"Heptathyra aubryi (Duméril, 1856)",Heptathyra,aubryi,"(Duméril, 1856)",,
163448,Cycloderma aubryi,"Cryptopodus aubryi Duméril, 1856",Cryptopodus,aubryi,"Duméril, 1856",,
163458,Batagur borneoensis,"Callagur borneoensis (Schlegel & Müller, 1844)",Callagur,borneoensis,"(Schlegel & Müller, 1844)",,
163458,Batagur borneoensis,"Emys borneoensis Schlegel & Müller, 1844",Emys,borneoensis,"Schlegel & Müller, 1844",,
163458,Batagur borneoensis,"Kachuga major Gray, 1873",Kachuga,major,"Gray, 1873",,
163458,Batagur borneoensis,"Batagur  picta Gray, 1862",Batagur ,picta,"Gray, 1862",,
163458,Batagur borneoensis,"Kachuga brookei Bartlett, 1895",Kachuga,brookei,"Bartlett, 1895",,
135458600,Pelochelys cantorii,"Pelochelys clivepalmeri Hoser, 2014",Pelochelys,clivepalmeri,"Hoser, 2014",,
135458600,Pelochelys cantorii,"Pelochelys poljakowii Strauch, 1890",Pelochelys,poljakowii,"Strauch, 1890",,
135458600,Pelochelys cantorii,"Pelochelys cumingii Gray, 1864",Pelochelys,cumingii,"Gray, 1864",,
135458600,Pelochelys cantorii,"Pelochelys cumungii Gray, 1864",Pelochelys,cumungii,"Gray, 1864",,
135458600,Pelochelys cantorii,"Pelochelys telstraorum Hoser, 2014",Pelochelys,telstraorum,"Hoser, 2014",,
135458600,Pelochelys cantorii,"Pelochys cantoris Boulenger, 1889",Pelochys,cantoris,"Boulenger, 1889",,
135458600,Pelochelys cantorii,"Chitra minor Jaekel, 1911 †",Chitra,minor,"Jaekel, 1911 † ",,
16503,Pelochelys bibroni,"Trionyx bibroni Owen, 1853",Trionyx,bibroni,"Owen, 1853",,
17026,Phocarctos hookeri,"Arctocephalus hookeri Gray, 1844",Arctocephalus,hookeri,"Gray, 1844",,
170510,Rhinoclemmys diademata,"Rhinoclemmys punctularia ssp. diademata (Mertens, 1954)",Rhinoclemmys,punctularia,,subspecies,"(Mertens, 1954)"
170510,Rhinoclemmys diademata,"Callopsis punctularia ssp. diademata (Mertens, 1954)",Callopsis,punctularia,,subspecies,"(Mertens, 1954)"
170510,Rhinoclemmys diademata,"Geoemyda punctularia ssp. diademata Mertens, 1954",Geoemyda,punctularia,,subspecies,"Mertens, 1954"
172525,Kinyongia vosseleri,"Chamaeleon fischeri ssp. vosseleri Nieden, 1913",Chamaeleon,fischeri,,subspecies,"Nieden, 1913"
172529,Rhampholeon temporalis,"Chamaeleon temporalis Matschie, 1892",Chamaeleon,temporalis,"Matschie, 1892",,
172530,Nadzikambia mlanjensis,"Nadzikambia mlanjense (Broadley, 1965) [orth. error]",Nadzikambia,mlanjense,"(Broadley, 1965) [orth. error]",,
172530,Nadzikambia mlanjensis,"Chamaeleo mlanjense Broadley, 1965",Chamaeleo,mlanjense,"Broadley, 1965",,
172532,Rhampholeon platyceps,"Brookesia platyceps ssp. carri Loveridge, 1953",Brookesia,platyceps,,subspecies,"Loveridge, 1953"
172532,Rhampholeon platyceps,"Brookesia platyceps (Günther, 1893)",Brookesia,platyceps,"(Günther, 1893)",,
172545,Kinyongia matschiei,"Chamaeleon matschiei Werner, 1895",Chamaeleon,matschiei,"Werner, 1895",,
172552,Kinyongia tenuis,"Bradypodion tenue (Matschie, 1892)",Bradypodion,tenue,"(Matschie, 1892)",,
172552,Kinyongia tenuis,"Kinyongia tenue (Matschie, 1892) [orth. error]",Kinyongia,tenue,"(Matschie, 1892) [orth. error]",,
172552,Kinyongia tenuis,"Chamaeleon tenuis Matschie, 1892",Chamaeleon,tenuis,"Matschie, 1892",,
172569,Kinyongia excubitor,"Chamaeleon affinis ssp. embuensis Loennberg, 1911",Chamaeleon,affinis,,subspecies,"Loennberg, 1911"
172569,Kinyongia excubitor,"Chamaeleo fischeri ssp. excubitor Barbour & Loveridge, 1928",Chamaeleo,fischeri,,subspecies,"Barbour & Loveridge, 1928"
172569,Kinyongia excubitor,"Bradypodion fischeri ssp. excubitor Klaver & Boehme, 1997",Bradypodion,fischeri,,subspecies,"Klaver & Boehme, 1997"
172569,Kinyongia excubitor,"Kinyongia excubitor Tilbury, Tolley & Branch, 2006",Kinyongia,excubitor,"Tilbury, Tolley & Branch, 2006",,
172569,Kinyongia excubitor,"Chamaeleo tenuis ssp. excubitor Barbour, 1911",Chamaeleo,tenuis,,subspecies,"Barbour, 1911"
172571,Trioceros quadricornis,"Trioceros eisentrauti (Mertens, 1968)",Trioceros,eisentrauti,"(Mertens, 1968)",,
172571,Trioceros quadricornis,"Chamaeleo eisentrauti Mertens, 1968",Chamaeleo,eisentrauti,"Mertens, 1968",,
172571,Trioceros quadricornis,"Chamaeleo quadricornis ssp. eisentrauti Mertens, 1968",Chamaeleo,quadricornis,,subspecies,"Mertens, 1968"
172571,Trioceros quadricornis,"Chamaeleo quadricornis ssp. gracilior Böhme & Klaver, 1981",Chamaeleo,quadricornis,,subspecies,"Böhme & Klaver, 1981"
172571,Trioceros quadricornis,"Chamaeleon quadricornis Tornier, 1899",Chamaeleon,quadricornis,"Tornier, 1899",,
172571,Trioceros quadricornis,"Chamaeleo quadricornis Tornier, 1899",Chamaeleo,quadricornis,"Tornier, 1899",,
172572,Trioceros pfefferi,"Chamaeleo pfefferi (Tornier, 1900)",Chamaeleo,pfefferi,"(Tornier, 1900)",,
172572,Trioceros pfefferi,"Chamaeleon pfefferi Tornier, 1900",Chamaeleon,pfefferi,"Tornier, 1900",,
172574,Kinyongia multituberculata,"Chamaeleon fischeri ssp. multituberculatus Nieden, 1913",Chamaeleon,fischeri,,subspecies,"Nieden, 1913"
172594,Pseudocalotes andamanensis,"Calotes andamanensis Boulenger, 1891",Calotes,andamanensis,"Boulenger, 1891",,
172599,Eutropis clivicola,"Mabuya clivicola Inger, R. F., Shaffer, H. B., Koshy, M. and Bakde, R.",Mabuya,clivicola,"Inger, R. F., Shaffer, H. B., Koshy, M. and Bakde, R.",,
172607,Oligodon brevicauda,"Oligodon brevicaudus Günther, 1862 [orth. error]",Oligodon,brevicaudus,"Günther, 1862 [orth. error]",,
172622,Uropeltis phipsonii,"Silybura phipsonii Mason, 1888",Silybura,phipsonii,"Mason, 1888",,
172629,Dasia subcaerulea,"Dasia subcoerulea (Boulenger, 1891)",Dasia,subcoerulea,"(Boulenger, 1891)",,
172629,Dasia subcaerulea,"Dasia subcaeruleum (Boulenger, 1891) [orth. error]",Dasia,subcaeruleum,"(Boulenger, 1891) [orth. error]",,
172629,Dasia subcaerulea,"Lygosoma subcaeruleum Boulenger, 1891",Lygosoma,subcaeruleum,"Boulenger, 1891",,
172630,Cnemaspis jerdonii,"Gonatodes jerdoni (Theobald, 1868)",Gonatodes,jerdoni,"(Theobald, 1868)",,
172630,Cnemaspis jerdonii,"Gymnodactylus jerdonii Theobald, 1868",Gymnodactylus,jerdonii,"Theobald, 1868",,
172648,Cnemaspis wynadensis,"Gonodactylus wynadensis (Beddome, 1870)",Gonodactylus,wynadensis,"(Beddome, 1870)",,
172648,Cnemaspis wynadensis,"Gonatodes wynadensis (Beddome, 1870)",Gonatodes,wynadensis,"(Beddome, 1870)",,
172648,Cnemaspis wynadensis,"Gymnodactylus wynadensis Beddome, 1870",Gymnodactylus,wynadensis,"Beddome, 1870",,
172654,Ahaetulla perroteti,"Dryophis tropidococcyx Günther, 1858",Dryophis,tropidococcyx,"Günther, 1858",,
172654,Ahaetulla perroteti,"Dryophis perroteti (Duméril, Bibron & Duméril, 1854)",Dryophis,perroteti,"(Duméril, Bibron & Duméril, 1854)",,
172654,Ahaetulla perroteti,"Psammophis perroteti Duméril, Bibron & Duméril, 1854",Psammophis,perroteti,"Duméril, Bibron & Duméril, 1854",,
172669,Dendrelaphis caudolineolatus,"Ahaetulla caudolineolata Smith, 1943",Ahaetulla,caudolineolata,"Smith, 1943",,
172669,Dendrelaphis caudolineolatus,"Dendrophis gregorii Haly, 1888",Dendrophis,gregorii,"Haly, 1888",,
172680,Cnemaspis indica,"Gymnodactylus indicus (Gray, 1846)",Gymnodactylus,indicus,"(Gray, 1846)",,
172680,Cnemaspis indica,"Gonatodes indicus (Gray, 1846)",Gonatodes,indicus,"(Gray, 1846)",,
172680,Cnemaspis indica,"Goniodactylus indicus Gray, 1846",Goniodactylus,indicus,"Gray, 1846",,
172685,Dasia haliana,"Euprepes halianus Nevill, 1887",Euprepes,halianus,"Nevill, 1887",,
172706,Eurylepis poonaensis,"Eumeces poonaensis Sharma, 1970",Eumeces,poonaensis,"Sharma, 1970",,
172929,Brygophis coulangesi,"Perinetia coulangesi Domergue, 1988",Perinetia,coulangesi,"Domergue, 1988",,
174471,Brachylophus bulabula,"Brachylophus fasciatus (Brongniart, 1800) [in part]",Brachylophus,fasciatus,"(Brongniart, 1800) [in part]",,
174474,Ctenosaura conspicuosa,"Ctenosaura hemilopha ssp. conspicuosa Dickerson, 1919",Ctenosaura,hemilopha,,subspecies,"Dickerson, 1919"
174477,Ctenosaura nolascensis,"Ctenosaura hemilopha ssp. nolascensis Smith, 1972",Ctenosaura,hemilopha,,subspecies,"Smith, 1972"
174483,Sauromalus klauberi,"Sauromalus  ater  ssp. klauberi Soulé & Sloan, 1966",Sauromalus ,ater ,,subspecies,"Soulé & Sloan, 1966"
17585,Platysternon megacephalum,"Platysternon megacephalum ssp. peguense Gray, 1870",Platysternon,megacephalum,,subspecies,"Gray, 1870"
17585,Platysternon megacephalum,"Platysternon megacephalum ssp. shiui Ernst & McCord, 1987",Platysternon,megacephalum,,subspecies,"Ernst & McCord, 1987"
