internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
10041,Heosemys annandalii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Heosemys,annandalii,,,,,"(Boulenger in Annandale &amp; Robinson, 1903)",Appeared on IUCN Red Lists prior to 2007 under the generic name <i>Hieremys</i>.
10825,Indotestudo forstenii,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Indotestudo,forstenii,,,,,"(Schlegel &amp; Müller, 1845)",
10950,Pangshura sylhetensis,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Pangshura,sylhetensis,,,,,"Jerdon, 1870","<p>Traditionally placed in the genus <em>Kachuga</em>, it was assigned to the subgenus <em>Pangshura</em> by Moll (1987); <em>Pangshura</em> was elevated to genus level by Das (2001).&#160;</p>"
11797,Lepus castroviejoi,ANIMALIA,CHORDATA,MAMMALIA,LAGOMORPHA,LEPORIDAE,Lepus,castroviejoi,,,,,"Palacios, 1977","<em>Lepus castroviejoi</em> was described relatively recently, being separated from <em>L. granatensis</em>, a split supported by genetic evidence. While the range of <em>L. castroviejoi</em> partially overlaps that of <em>L. granatensis</em> and <em>L. europaeus</em> on the Iberian Peninsula, no hybridization has been detected with these forms. Recent studies have shown that instead, based on ecological, molecular and morphological characteristics, it is most closely related to <em>L. corsicanus</em>; some believe these two are conspecific (Alves <em>et al.</em> 2008, Acevedo <em>et al.</em> 2014, Ballesteros 2018). Additionally, two different occurrences of introgression of mtDNA from <em>L. timidus</em> into <em>L. castroviejoi</em> have been documented – indicating that these two forms have come into contact and hybridized two different times in the past, most recently during the last deglaciation (Melo-Ferreira <em>et al.</em> 2005, 2012; Ballesteros 2018). No subspecies or geographic variation in <em>L. castroviejoi</em> have been described (Flux and Angermann 1990, Hoffmann and Smith 2005, Ballesteros 2018)."
12695,Malaclemys terrapin,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Malaclemys,terrapin,,,,,"(Schoepff, 1793)","Seven subspecies are generally accepted (TTWG 2017): <br/> <em><br/></em><em>Malaclemys terrapin terrapin</em>&#160;(Schoepff, 1793) - Northern Diamondback Terrapin<em><br/>Malaclemys terrapin centrata</em> (Latreille in Sonnini and Latreille, 1801) - Carolina Diamondback Terrapin <br/><em>Malaclemys terrapin littoralis</em>&#160;Hay, 1905 - Texas Diamondback Terrapin<br/> <em>Malaclemys terrapin macrospilota</em>&#160;Hay, 1905 - Ornate Diamondback Terrapin <br/> <em>Malaclemys terrapin pileata</em> (Wied, 1865) - Mississippi Diamondback Terrapin<br/> <em>Malaclemys terrapin rhizophorarum</em> Fowler, 1906 - Mangrove Diamondback Terrapin<br/> <em>Malaclemys terrapin tequesta</em> Schwartz, 1955 - Eastern Florida Diamondback Terrapin<br/><br/>These subspecific designations of terrapins were based on morphological characteristics (Carr 1952). However, molecular studies indicate that the morphological subspecific designations do not match well with the range-wide genetic differentiation, suggesting fewer independent lineages. Lamb and Avise (1992) first suggested two subpopulations that diverged near Jacksonville, Florida. More recent work using microsatellites suggested that five genetically distinct terrapin management units exist throughout the range (Hart <em>et al</em>. 2014). One unfortunate consequence of the previous heavy trade and farming of terrapins was the transport of individuals among populations, and the genetic signature of those translocations can still be detected today (Hauswaldt and Glen 2005; Converse <em>et al</em>. 2017; Converse and Kuchta 2018). A more thorough range-wide molecular study using more populations and loci is sorely needed to resolve the phylogenetic relationships and update the taxonomy of <em>Malaclemys</em>."
12696,Malacochersus tornieri,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Malacochersus,tornieri,,,,,"(Siebenrock, 1903)","<p><span class=""s1"">Lindholm (1929) recognized <em>Testudo tornieri</em>&#160;Siebenrock, 1903 as the type of a new genus, for which he established the name <em>Malacochersus</em>. The genus is monotypic, with only one species currently<em> </em>recognized. Genetic studies have demonstrated that <em>Malacochersus</em> is most closely related to Asian <em>Indotestudo</em> and Eurasian <em>Testudo</em> (Le <em>et al</em>. 2006; Parham <em>et al</em>. 2006; Fritz and Bininda-Emonds 2007). Phylogeographic studies of the species have not yet been realized, but are clearly needed in view of its disjunct distribution. Vernacular names used for the species in East African Kiswahili are Kobe ya Mawe and Kobe kama Chapati.</p>"
12775,Manouria impressa,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Manouria,impressa,,,,,"(Günther, 1882)",
12776,Mantella aurantiaca,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MANTELLIDAE,Mantella,aurantiaca,,,,,"Mocquard, 1900","There are populations of ""golden"" mantellas that might belong to other species. The taxonomy of this group is uncertain but the definition of <em>Mantella aurantiaca</em> is clear and there seems to be little genetic subdivision within the species (M. Vences pers. comm.)."
1301,Anhydrophryne rattrayi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,PYXICEPHALIDAE,Anhydrophryne,rattrayi,,,,,"Hewitt, 1919",
13038,Melanochelys tricarinata,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,GEOEMYDIDAE,Melanochelys,tricarinata,,,,,"(Blyth, 1856)",
